#SRC:M87,DATE(MJD):58230,FREQ:215.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
01.40972221,AA,MG,1791101568.0000,-4634851840.0000,0.19961705,-1.0187,0.00714368
01.40972221,AX,MG,1790415488.0000,-4633313792.0000,0.21292349,-5.1080,0.07395305
01.41249999,AA,AX,602583.6875,-1551442.5000,1.12306953,0.6440,0.01150287
01.41527778,AA,AX,602337.5000,-1551384.1250,1.12291979,-0.3724,0.00482882
01.41527778,AX,MG,1793830016.0000,-4632749568.0000,0.24074183,-19.3974,0.04986727
01.41805556,AA,AX,601969.3750,-1551296.8750,1.12270941,0.6607,0.00551225
01.41805556,AA,MG,1796040576.0000,-4634034688.0000,0.22152193,-1.2772,0.00846904
01.41805556,AX,MG,1795511424.0000,-4632471040.0000,0.23201272,7.0124,0.05495246
01.42083335,AA,AX,601535.1250,-1551194.2500,1.12298372,-0.6617,0.00496765
01.42083335,AA,MG,1797777280.0000,-4633746432.0000,0.22735520,1.5484,0.00763472
01.42083335,AX,MG,1797267840.0000,-4632179712.0000,0.23409135,-43.3957,0.06661116
01.42361113,AA,AX,601140.6250,-1551101.1250,1.12297642,-0.0374,0.00453538
01.42361113,AA,MG,1799515904.0000,-4633457152.0000,0.23057686,4.7964,0.00796191
01.42361113,AX,MG,1798923776.0000,-4631904768.0000,0.23655709,-19.2984,0.05881494
01.42638892,AA,AX,600757.2500,-1551010.7500,1.12253312,0.9239,0.00499108
01.42638892,AA,MG,1801062784.0000,-4633200128.0000,0.21795586,-0.0526,0.00752895
01.42638892,AX,MG,1800620928.0000,-4631622656.0000,0.22932928,2.5827,0.06743117
01.42916670,AA,AX,600372.8125,-1550920.2500,1.12246432,-0.2809,0.00512076
01.42916670,AA,MG,1802875904.0000,-4632897536.0000,0.19616112,-0.1371,0.00710195
01.42916670,AX,MG,1802191232.0000,-4631360512.0000,0.22250930,2.0366,0.06829648
01.43194440,AA,MG,1804494336.0000,-4632627200.0000,0.19026132,1.2934,0.00762098
01.43472219,AA,AX,599541.2500,-1550725.0000,1.12251047,-0.2671,0.00461531
01.43472219,AA,MG,1806141952.0000,-4632351744.0000,0.21905868,-3.6279,0.00693448
01.43472219,AX,MG,1805558656.0000,-4630798336.0000,0.21883076,6.2872,0.06512704
01.43749997,AA,AX,599135.0625,-1550629.7500,1.12234967,0.0615,0.00483678
01.43749997,AA,MG,1807817472.0000,-4632071168.0000,0.22966566,1.4089,0.00697776
01.43749997,AX,MG,1807266688.0000,-4630512640.0000,0.23895947,-9.7896,0.06520196
01.44027776,AA,AX,598736.9375,-1550536.6250,1.12274497,0.3507,0.00459637
01.44027776,AA,MG,1809481344.0000,-4631792128.0000,0.22631388,2.9550,0.00735807
01.44027776,AX,MG,1808942720.0000,-4630231552.0000,0.22492874,-10.8833,0.06265852
01.44305554,AA,AX,598336.8125,-1550443.1250,1.12265068,0.3538,0.00492253
01.44305554,AA,MG,1811209984.0000,-4631501824.0000,0.20315262,3.1638,0.00669207
01.44583333,AA,AX,597936.6875,-1550349.7500,1.12255251,0.8698,0.00456080
01.44861111,AA,AX,597526.6875,-1550254.2500,1.12246863,-0.2735,0.00469161
01.44861111,AA,MG,1814464384.0000,-4630953984.0000,0.19953931,1.0934,0.00641768
01.50138885,AA,MG,1846121600.0000,-4625540096.0000,0.20217289,-3.1558,0.00576526
01.50416672,AX,MG,1847580928.0000,-4623635968.0000,0.25294416,-19.3733,0.08538921
01.50694442,AA,AX,589008.0625,-1548302.1250,1.12262987,-0.1808,0.00550259
01.50694442,AX,MG,1848795136.0000,-4623425024.0000,0.16805121,-22.7291,0.07090161
01.50972229,AA,AX,588614.1875,-1548213.2500,1.12278117,-0.5688,0.00443529
01.50972229,AX,MG,1850525568.0000,-4623123968.0000,0.16762755,25.2499,0.07539822
01.51249999,AA,AX,588189.9375,-1548117.7500,1.12273025,-0.6391,0.00489777
01.51249999,AA,MG,1852607872.0000,-4624411648.0000,0.22095391,4.7196,0.00669378
01.51249999,AX,MG,1852046720.0000,-4622858752.0000,0.19236693,3.2288,0.06484870
